Datum/Uhrzeit,Zeitstempel,HUP,ZUP,BUP,ZW2,MA1,MZ1,ZIP,VD1,VD2,VENT,AV,VBS,ZW1,HD,ND,MOT,ASD,EVU,TFB1 [°C],TBW [°C],TA [°C],TRLext [°C],TRL [°C],TVL [°C],THG [°C],TWQaus [°C],TWQein [°C],TRLsoll [°C],TMK1soll [°C],AI1DIV,SUP,FUP2,MA2,MZ2,MA3,MZ3,FUP3,ZW3,SLP,AO1 [V],AO2 [V],SWT,AI1 [V],DF [l/min],SpHz [K],SpWQ [K],Qh [kW],BS VD1 [h],BS WP [h],BS Hz [h],BS BW [h],BS Kü [h],Imp VD1 [],WMZ [kWh],WMZ Hz [kWh],WMZ BW [kWh],TA mittel [°C],TSS [°C],TSK [°C],TFB2 [°C],TFB3 [°C],TEE [°C],TMK2soll [°C],TMK3soll [°C],WM [kWh],Pe1 [W],Pe2 [W],AZ1 [],AZ2 [],E1 [kWh],E2 [kWh],UEHZ [K],UEHZsoll [K],Asg.VDi [°C],Asg.VDa [°C],VDHz [°C],PWM VBS [%],SpWQsoll [K],PWM HUP [%],SpHzSoll [K],FreqVD [Hz]
2018-08-10 17:16:50,1533914210,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,25.1,49.8,16.3,24.4,36.5,37.1,26.7,15.6,17.4,15,33.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-10 17:17:50,1533914270,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,25.1,49.8,16.3,24.4,36.5,37.1,26.7,15.6,17.4,15,33.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-10 17:18:50,1533914330,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,25.1,49.8,16.3,24.4,36.5,37,26.7,15.6,17.4,15,33.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-10 17:19:50,1533914390,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,25.1,49.8,16.3,24.4,36.5,37,26.7,15.6,17.4,15,33.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-10 17:20:50,1533914450,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,25.1,49.8,16.2,24.4,36.5,36.9,26.7,15.6,17.4,15,33.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-10 17:21:50,1533914510,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,25.1,49.7,16.2,24.4,36.5,36.9,26.7,15.6,17.5,15,33.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-10 17:22:50,1533914570,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,25.1,49.8,16.2,24.4,36.5,36.9,26.7,15.7,17.5,15,33.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-10 17:23:50,1533914630,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,25.1,49.8,16.2,24.4,36.4,36.8,26.7,15.7,17.5,15,33.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-10 17:24:50,1533914690,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,25.1,49.8,16.3,24.4,36.4,36.7,26.5,15.6,17.4,15,33.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-10 17:25:50,1533914750,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,25.1,49.7,16.3,24.4,36.4,36.7,26.5,15.6,17.4,15,33.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
