Start,Modus,Länge [h:min],Pause [h:min],TVL [°C],TRL [°C],SpHZ [K],TWQein [°C],TWQaus [°C],SpWQ [K],TA [°C],WM [kWh],E1 [kWh],E2 [kWh],AZ1,AZ2,
2018-10-14 19:04,Heizung,0:16,,32.0,28.2,3.8,13.5,-0.1,13.6,13.7,0.00,0.00,0.00,nan,nan,
2018-10-14 20:53,Heizung,0:15,1:33,32.6,29.3,3.3,11.9,-2.8,14.7,11.5,0.00,0.00,0.00,nan,nan,
2018-10-14 21:16,Brauchwasser,0:24,,52.9,49.7,3.2,13.3,-1.2,14.5,12.3,0.00,0.00,0.00,nan,nan,
2018-10-14 21:40,Heizung,0:02,0:32,31.7,27.9,3.8,13.5,-2.4,15.9,12.3,0.00,0.00,0.00,nan,nan,
2018-10-15 01:15,Heizung,0:17,3:33,31.7,28.3,3.4,13.2,-3.5,16.7,13.7,0.00,0.00,0.00,nan,nan,
2018-10-15 02:39,Heizung,0:22,1:07,32.3,29.1,3.2,10.9,-4.6,15.5,11.1,0.00,0.00,0.00,nan,nan,
2018-10-15 04:11,Heizung,0:21,1:10,33.3,30.1,3.2,9.4,-4.6,14.0,9.6,0.00,0.00,0.00,nan,nan,
2018-10-15 05:37,Heizung,0:16,1:05,32.9,29.5,3.4,11.6,-3.8,15.4,10.7,0.00,0.00,0.00,nan,nan,
2018-10-15 07:19,Brauchwasser,0:35,9:39,52.7,49.7,3.0,13.8,-1.6,15.4,12.6,0.00,0.00,0.00,nan,nan,
2018-10-15 07:54,Heizung,0:03,2:01,29.4,25.6,3.8,14.0,-2.5,16.5,12.7,0.00,0.00,0.00,nan,nan,
2018-10-15 11:04,Brauchwasser,0:39,3:10,52.9,49.6,3.3,15.9,0.5,15.4,15.0,0.00,0.00,0.00,nan,nan,
2018-10-15 11:43,Heizung,0:03,3:46,28.4,24.7,3.7,15.9,0.5,15.4,15.0,0.00,0.00,0.00,nan,nan,
2018-10-15 18:38,Heizung,0:16,6:51,31.7,27.9,3.8,13.5,-0.1,13.6,14.5,0.00,0.00,0.00,nan,nan,
2018-10-15 20:07,Heizung,0:15,1:13,32.6,29.0,3.6,11.4,-0.3,11.7,11.7,0.00,0.00,0.00,nan,nan,
2018-10-15 20:33,Brauchwasser,0:28,8:49,53.2,49.8,3.4,11.0,-0.5,11.5,11.0,0.00,0.00,0.00,nan,nan,
2018-10-15 21:01,Heizung,0:02,0:39,30.7,27.0,3.7,11.4,-1.1,12.5,10.9,0.00,0.00,0.00,nan,nan,
2018-10-15 22:30,Heizung,0:15,1:27,32.3,28.8,3.5,13.5,-3.8,17.3,12.4,0.00,0.00,0.00,nan,nan,
2018-10-16 01:35,Heizung,0:15,2:50,31.8,28.1,3.7,14.2,-2.8,17.0,13.6,0.00,0.00,0.00,nan,nan,
2018-10-16 03:45,Heizung,0:16,1:55,32.0,28.5,3.5,12.8,-2.9,15.7,13.2,0.00,0.00,0.00,nan,nan,
2018-10-16 05:25,Heizung,0:19,1:24,32.7,29.5,3.2,9.8,-4.3,14.1,11.0,0.00,0.00,0.00,nan,nan,
2018-10-16 06:41,Brauchwasser,0:38,9:40,52.6,49.7,2.9,9.1,-2.9,12.0,9.6,0.00,0.00,0.00,nan,nan,
2018-10-16 07:19,Heizung,0:07,1:35,30.9,27.4,3.5,9.6,-4.4,14.0,9.5,0.00,0.00,0.00,nan,nan,
2018-10-16 08:19,Heizung,0:18,0:53,33.2,29.9,3.3,10.6,-3.9,14.5,10.3,0.00,0.00,0.00,nan,nan,
2018-10-16 09:14,Brauchwasser,0:40,1:55,52.6,49.3,3.3,13.1,-0.5,13.6,11.2,0.00,0.00,0.00,nan,nan,
2018-10-16 10:07,Brauchwasser,0:05,0:13,53.0,49.3,3.7,13.9,1.1,12.8,11.8,0.00,0.00,0.00,nan,nan,
2018-10-16 10:12,Heizung,0:03,1:35,29.9,26.0,3.9,13.7,-1.4,15.1,11.9,0.00,0.00,0.00,nan,nan,
