Start,Modus,Längehmin,Pausehmin,TV,TR,SpHZK,TWQein,TWQaus,SpWQK,TA,WMkWh,E1kWh,E2kWh
2018-10-10 1856,Heizung,0017,,31.8,28,3.8,13.8,0.1,13.7,14.5,0,0,0
2018-10-10 1951,Brauchwasser,0033,,55.2,51.9,3.3,12.1,0.6,11.5,11.9,0,0,0
2018-10-10 2024,Heizung,0003,0111,29.3,25.1,4.2,11.5,0.4,11.1,11.7,0,0,0
2018-10-10 2107,Heizung,0015,0040,32.6,29.2,3.4,9.9,-0.4,10.3,10.7,0,0,0
2018-10-10 2235,Heizung,0018,0113,33.4,30.1,3.3,9.6,-1,10.6,9.5,0,0,0
2018-10-10 2337,Heizung,0020,0044,33.6,30.1,3.5,9.3,-1.4,10.7,9.2,0,0,0
2018-10-11 0046,Heizung,0008,0049,32,28.6,3.4,8.8,-4.2,13,8.4,0,0,0
2018-10-11 0123,Heizung,0018,0029,34.1,30.9,3.2,8.2,-4.2,12.4,7.6,0,0,0
2018-10-11 0243,Heizung,0021,0102,34.3,31,3.3,6.8,-4.5,11.3,7.5,0,0,0
2018-10-11 0408,Heizung,0030,0104,34.6,31.5,3.1,6.5,-5.6,12.1,6.2,0,0,0
2018-10-11 0546,Heizung,0024,0108,34.7,31.5,3.2,5.7,-5.6,11.3,5.6,0,0,0
2018-10-11 0635,Brauchwasser,0009,1011,48.5,45.6,2.9,5.1,-4.9,10,5.8,0,0,0
2018-10-11 0654,Brauchwasser,0035,0010,54.8,51.9,2.9,5.9,-4.2,10.1,5.6,0,0,0
2018-10-11 0644,Heizung,0013,0034,32,28.5,3.5,5.9,-5,10.9,5.6,0,0,0
2018-10-11 0831,Heizung,0007,0059,32,28.8,3.2,7.7,-4.8,12.5,6.6,0,0,0
2018-10-11 1013,Brauchwasser,0033,0244,55.1,51.5,3.6,16.9,0.1,16.8,14.9,0,0,0
2018-10-11 1047,Heizung,0003,0208,29.8,25.8,4,16.9,-0.2,17.1,15,0,0,0
2018-10-11 1907,Heizung,0016,0817,31.5,27.6,3.9,13.3,0.1,13.2,14.5,0,0,0
2018-10-11 2018,Heizung,0016,0055,32.2,28.4,3.8,11.7,-0.1,11.8,12.6,0,0,0
2018-10-11 2044,Brauchwasser,0025,0957,54.9,51.5,3.4,11.7,-0.3,12,11.9,0,0,0
2018-10-11 2109,Heizung,0004,0035,29.6,25.4,4.2,11.8,-0.8,12.6,11.8,0,0,0
2018-10-11 2151,Heizung,0018,0038,33,29.6,3.4,10.7,-2.9,13.6,11,0,0,0
2018-10-12 0248,Heizung,0017,0439,31,27.3,3.7,14.1,-0.3,14.4,15.2,0,0,0
2018-10-12 0436,Heizung,0015,0131,31.8,27.9,3.9,13.1,-0.3,13.4,14.3,0,0,0
2018-10-12 0633,Heizung,0017,0142,31.8,28.2,3.6,12.5,-0.5,13,13.5,0,0,0
2018-10-12 0707,Brauchwasser,0039,0958,54.8,51.6,3.2,11.4,-0.9,12.3,12,0,0,0
2018-10-12 0746,Heizung,0002,0056,32.2,26.1,6.1,11.7,-1.2,12.9,12,0,0,0
2018-10-12 0848,Brauchwasser,0030,0102,50.1,46.9,3.2,13.3,-0.6,13.9,12.4,0,0,0
2018-10-12 0928,Brauchwasser,0034,0010,55.1,51.3,3.8,14.9,-1,15.9,13.7,0,0,0
2018-10-12 0833,Heizung,0028,0045,30.4,26.3,4.1,15.3,-3,18.3,13.8,0,0,0
