Start,Modus,Länge [h:min],Pause [h:min],TVL [°C],TRL [°C],SpHZ [K],TWQein [°C],TWQaus [°C],SpWQ [K],TA [°C],WM [kWh],E1 [kWh],E2 [kWh],AZ1,AZ2,
2018-06-06 22:15,Brauchwasser,0:21,,56.3,52.6,3.7,18.2,5.7,12.5,18.2,0.00,0.00,0.00,nan,nan,
2018-06-07 07:09,Brauchwasser,0:32,8:32,56.3,52.3,4.0,17.8,6.5,11.3,19.1,0.00,0.00,0.00,nan,nan,
2018-06-07 18:15,Brauchwasser,0:28,10:34,56.6,52.6,4.0,20.2,8.5,11.7,23.1,0.00,0.00,0.00,nan,nan,
2018-06-07 21:24,Brauchwasser,0:26,2:41,56.6,52.7,3.9,16.2,5.7,10.5,17.5,0.00,0.00,0.00,nan,nan,
2018-06-08 07:11,Brauchwasser,0:29,9:20,56.5,52.6,3.9,19.4,6.3,13.1,18.5,0.00,0.00,0.00,nan,nan,
2018-06-08 09:10,Brauchwasser,0:26,1:30,56.5,52.3,4.2,21.2,7.1,14.1,19.5,0.00,0.00,0.00,nan,nan,
2018-06-08 19:49,Brauchwasser,0:24,10:13,56.8,52.9,3.9,17.6,6.5,11.1,18.9,0.00,0.00,0.00,nan,nan,
2018-06-08 20:13,Heizung,0:01,,56.8,52.9,3.9,17.6,6.5,11.1,18.9,0.00,0.00,0.00,nan,nan,
2018-06-09 03:36,Brauchwasser,0:33,7:22,56.5,52.9,3.6,14.9,4.4,10.5,15.2,0.00,0.00,0.00,nan,nan,
2018-06-09 04:09,Heizung,0:02,7:54,30.0,25.9,4.1,15.4,3.8,11.6,15.3,0.00,0.00,0.00,nan,nan,
2018-06-09 08:17,Brauchwasser,0:29,4:08,56.5,52.6,3.9,18.9,6.5,12.4,19.7,0.00,0.00,0.00,nan,nan,
2018-06-09 21:37,Brauchwasser,0:23,12:51,56.8,52.9,3.9,19.7,7.0,12.7,20.3,0.00,0.00,0.00,nan,nan,
2018-06-10 07:59,Brauchwasser,0:30,9:58,56.3,52.0,4.3,21.6,8.2,13.4,20.2,0.00,0.00,0.00,nan,nan,
2018-06-10 20:21,Brauchwasser,0:25,11:52,56.9,52.7,4.2,20.3,9.5,10.8,23.0,0.00,0.00,0.00,nan,nan,
2018-06-11 06:02,Brauchwasser,0:30,9:15,56.3,52.6,3.7,16.8,5.7,11.1,18.1,0.00,0.00,0.00,nan,nan,
2018-06-11 21:39,Brauchwasser,0:22,15:07,57.1,52.9,4.2,20.6,8.4,12.2,21.2,0.00,0.00,0.00,nan,nan,
2018-06-12 08:12,Brauchwasser,0:31,10:10,56.6,52.6,4.0,18.2,6.4,11.8,19.8,0.00,0.00,0.00,nan,nan,
2018-06-12 10:59,Brauchwasser,0:28,2:16,56.5,52.9,3.6,20.3,7.1,13.2,22.4,0.00,0.00,0.00,nan,nan,
2018-06-12 17:16,Brauchwasser,0:24,5:49,56.5,52.6,3.9,17.0,6.1,10.9,18.3,0.00,0.00,0.00,nan,nan,
2018-06-12 21:42,Brauchwasser,0:31,4:02,56.1,52.4,3.7,15.0,4.8,10.2,16.6,0.00,0.00,0.00,nan,nan,
2018-06-12 22:13,Heizung,0:02,90:01,35.7,26.2,9.5,14.9,4.5,10.4,16.6,0.00,0.00,0.00,nan,nan,
2018-06-13 08:11,Brauchwasser,0:33,9:57,56.1,52.6,3.5,14.7,4.7,10.0,16.2,0.00,0.00,0.00,nan,nan,
